id,door buster,in stock,is online,launch date,has image,status code,status,Has Price,Price
40183,0,0,0,11/16/2015,1,2,In Progress,3,375
40184,1,0,0,12/12/2015,1,4,-,1,1.26
40185,0,0,0,11/29/2015,1,3,Active,4,6.87
40186,1,0,1,10/12/2015,0,3,Active,4,18
40187,0,1,0,12/23/2015,0,2,In Progress,2,9.9
40188,0,0,1,10/23/2015,0,4,-,1,4
40189,1,1,0,11/12/2015,1,3,Active,4,72
40190,0,0,1,11/19/2015,1,1,Not Started,0,0
40191,0,0,1,10/15/2015,0,2,In Progress,3,19.36
40192,0,1,0,11/18/2015,1,3,Active,0,0
40193,1,0,1,11/12/2015,1,2,In Progress,3,25.46
40194,1,1,1,11/8/2015,0,3,Active,1,5
40195,0,0,0,12/20/2015,1,3,Active,3,375
40196,0,0,0,11/6/2015,0,4,-,2,50
40197,0,1,0,10/16/2015,1,1,Not Started,1,2.24
40198,0,0,0,12/11/2015,1,2,In Progress,0,0
40199,1,1,1,11/30/2015,1,2,In Progress,4,324
40200,0,1,0,10/7/2015,0,2,In Progress,3,5.77
40201,0,1,0,11/29/2015,0,3,Active,3,375
40202,0,0,1,12/19/2015,1,4,-,3,9
40203,0,0,1,10/14/2015,1,2,In Progress,0,0
40204,1,0,1,12/1/2015,0,1,Not Started,3,375
40205,0,1,1,11/24/2015,0,4,-,4,21.26
40206,0,1,1,10/31/2015,1,3,Active,3,648
40207,0,1,0,10/26/2015,1,3,Active,2,7.07
40208,1,1,0,12/10/2015,1,4,-,1,7
40209,1,1,1,12/1/2015,0,3,Active,4,2500
40210,1,1,0,11/13/2015,1,3,Active,0,0
40211,0,0,1,10/24/2015,1,2,In Progress,2,9.9
40212,1,0,0,10/9/2015,1,1,Not Started,3,10.1
40213,0,0,0,10/12/2015,1,2,In Progress,1,1.71
40214,0,0,1,12/4/2015,0,4,-,0,0
40215,1,1,1,10/11/2015,0,1,Not Started,0,0
40216,1,0,1,11/11/2015,0,1,Not Started,3,24
40217,0,0,1,10/7/2015,0,1,Not Started,3,7.21
40218,0,1,0,12/26/2015,0,2,In Progress,4,4
40219,1,0,1,10/18/2015,1,3,Active,3,7.21
40220,0,1,1,10/5/2015,1,3,Active,0,0
40221,1,0,1,12/3/2015,0,3,Active,4,21.26
40222,1,0,1,12/31/2015,0,1,Not Started,3,2.88
40223,1,0,1,10/1/2015,0,4,-,3,4.33
40224,1,1,0,10/25/2015,1,2,In Progress,3,375
40225,0,1,1,10/30/2015,1,2,In Progress,4,1024
40226,1,0,0,11/11/2015,1,2,In Progress,0,0
40227,0,1,0,11/8/2015,1,2,In Progress,2,2
40228,0,1,1,10/15/2015,1,2,In Progress,3,192
40229,0,1,1,11/8/2015,0,2,In Progress,4,18
40230,0,1,1,12/8/2015,0,2,In Progress,1,1.59
40231,1,0,0,10/21/2015,1,1,Not Started,1,2.45
40232,1,0,0,10/1/2015,0,4,-,1,3
40233,0,1,0,10/2/2015,0,1,Not Started,0,0
40234,0,0,0,12/6/2015,0,2,In Progress,1,1.71
40235,1,1,0,12/1/2015,1,3,Active,4,98
40236,0,0,0,11/12/2015,0,2,In Progress,3,4.33
40237,1,0,0,11/21/2015,0,3,Active,4,72
40238,0,1,0,11/17/2015,0,2,In Progress,4,21.26
40239,1,0,0,10/8/2015,0,2,In Progress,2,32
40240,1,0,0,10/2/2015,0,4,-,0,0
40241,1,0,0,10/27/2015,0,3,Active,0,0
40242,1,0,1,12/14/2015,0,2,In Progress,4,64
40243,0,0,0,11/9/2015,1,4,-,4,21.26
40244,1,1,1,10/21/2015,1,2,In Progress,4,6.87
40245,0,0,0,12/28/2015,1,3,Active,3,4.33
40246,0,0,0,10/14/2015,0,3,Active,4,5184
40247,0,0,1,11/2/2015,1,2,In Progress,1,3
40248,0,0,1,11/5/2015,1,2,In Progress,3,25.46
40249,1,0,0,11/22/2015,0,3,Active,0,0
40250,1,1,1,10/10/2015,1,1,Not Started,3,192
40251,0,1,0,11/14/2015,1,3,Active,4,17.31
40252,0,0,1,11/21/2015,0,1,Not Started,2,18
40253,1,1,0,12/10/2015,1,2,In Progress,0,0
40254,1,1,0,12/31/2015,1,2,In Progress,2,2.62
40255,0,0,1,10/7/2015,1,1,Not Started,2,3.68
40256,1,0,0,11/3/2015,0,2,In Progress,3,32.08
40257,0,0,0,10/29/2015,1,4,-,1,1.26
40258,1,0,1,11/26/2015,1,3,Active,4,72
40259,1,1,0,10/6/2015,1,3,Active,2,9.9
40260,0,0,0,11/23/2015,0,2,In Progress,0,0
40261,0,0,1,10/29/2015,1,1,Not Started,4,2500
40262,0,0,0,10/5/2015,0,1,Not Started,3,25.46
40263,1,0,1,11/2/2015,0,2,In Progress,0,0
40264,0,1,0,10/10/2015,1,1,Not Started,2,4.24
40265,0,0,1,10/11/2015,0,2,In Progress,3,81
40266,0,1,0,11/29/2015,1,2,In Progress,2,18
40267,0,0,1,12/31/2015,1,2,In Progress,1,5
40268,0,0,1,12/24/2015,0,3,Active,4,64
40269,1,1,1,11/17/2015,0,3,Active,1,5
40270,0,1,1,11/16/2015,1,1,Not Started,2,4.24
40271,0,0,1,12/27/2015,1,1,Not Started,4,17.31
40272,0,0,0,12/21/2015,1,3,Active,3,1029
40273,0,0,0,10/4/2015,0,3,Active,1,1.59
40274,1,1,1,10/10/2015,1,4,-,0,0
40275,1,1,0,11/15/2015,1,2,In Progress,2,8.49
40276,0,1,0,11/9/2015,0,2,In Progress,4,17.31
40277,1,0,0,12/1/2015,1,2,In Progress,3,1029
40278,0,1,1,11/11/2015,0,3,Active,4,72
40279,0,0,1,10/25/2015,0,4,-,2,3.17
40280,1,1,0,11/30/2015,1,2,In Progress,2,5.66
40281,1,1,1,11/27/2015,1,4,-,4,2500
40282,1,0,1,10/29/2015,1,1,Not Started,4,6.87
40283,1,0,1,12/17/2015,1,4,-,1,3
40284,1,1,0,11/25/2015,1,1,Not Started,4,13.57
40285,0,0,0,10/26/2015,1,2,In Progress,0,0
40286,1,1,1,10/1/2015,1,3,Active,3,10.1
40287,0,0,0,10/14/2015,1,2,In Progress,2,2.83
40288,1,1,0,11/22/2015,1,3,Active,0,0
40289,1,0,0,10/27/2015,0,1,Not Started,2,2.62
40290,1,1,1,11/1/2015,1,3,Active,3,7.21
40291,0,0,0,10/11/2015,0,3,Active,4,50
40292,0,0,1,11/29/2015,1,4,-,1,6
40293,1,1,0,10/4/2015,0,2,In Progress,2,8.49
40294,0,0,0,11/10/2015,0,2,In Progress,4,21.26
40295,0,0,0,10/6/2015,0,1,Not Started,0,0
40296,1,1,0,12/3/2015,1,3,Active,3,81
40297,0,0,1,10/10/2015,1,1,Not Started,0,0
40298,1,1,1,10/26/2015,1,1,Not Started,2,3.17
40299,1,1,1,10/8/2015,1,4,-,3,4.33
40300,1,1,1,12/30/2015,0,3,Active,2,7.07
40301,1,1,1,12/6/2015,0,3,Active,4,2500
40302,0,0,0,10/4/2015,0,3,Active,4,18
40303,0,0,1,12/29/2015,0,4,-,3,32.08
40304,0,0,0,12/3/2015,0,1,Not Started,2,32
40305,1,1,1,10/21/2015,1,4,-,2,2
40306,0,1,1,11/29/2015,0,3,Active,2,2.62
40307,1,0,0,10/30/2015,1,4,-,2,50
40308,1,1,1,12/22/2015,1,3,Active,4,8
40309,1,1,1,10/21/2015,0,3,Active,1,1.73
40310,1,1,1,11/7/2015,0,4,-,0,0
40311,0,1,1,11/8/2015,1,3,Active,3,7.21
40312,0,1,1,11/17/2015,0,4,-,4,13.57
40313,1,0,1,12/21/2015,0,4,-,3,8.65
40314,0,0,0,12/19/2015,1,4,-,2,98
40315,1,1,0,11/29/2015,1,1,Not Started,3,375
40316,1,0,0,10/20/2015,1,2,In Progress,2,2.62
40317,0,1,1,11/15/2015,1,4,-,4,13.57
40318,1,1,1,10/2/2015,0,1,Not Started,3,13.86
40319,1,0,1,12/1/2015,1,3,Active,4,4
40320,0,1,0,11/17/2015,1,4,-,4,64
40321,0,0,0,11/8/2015,0,2,In Progress,2,8.49
40322,1,0,1,10/18/2015,1,2,In Progress,3,7.21
40323,0,1,0,11/9/2015,1,4,-,3,8.65
40324,1,0,1,10/5/2015,1,4,-,0,0
40325,1,1,1,12/3/2015,1,2,In Progress,3,32.08
40326,0,0,1,10/29/2015,0,2,In Progress,1,1.41
40327,0,1,1,10/10/2015,0,3,Active,1,1.71
40328,0,1,0,12/21/2015,0,3,Active,2,3.17
40329,0,1,1,10/26/2015,1,2,In Progress,4,1024
40330,1,1,0,10/5/2015,1,4,-,3,192
40331,1,1,0,10/9/2015,1,4,-,0,0
40332,1,1,0,11/20/2015,0,4,-,3,24
40333,1,1,1,12/1/2015,0,3,Active,3,9
40334,1,0,1,11/21/2015,1,2,In Progress,0,0
40335,1,0,1,11/7/2015,0,4,-,0,0
40336,1,1,1,10/8/2015,1,3,Active,4,50
40337,0,0,0,12/2/2015,0,1,Not Started,4,21.26
40338,0,1,1,12/21/2015,0,1,Not Started,0,0
40339,0,0,0,12/15/2015,1,4,-,4,324
40340,1,0,1,10/30/2015,0,3,Active,4,8
40341,1,1,1,10/23/2015,0,3,Active,3,81
40342,0,0,1,10/31/2015,0,4,-,2,7.07
40343,1,0,0,11/3/2015,1,3,Active,0,0
40344,0,0,1,10/28/2015,1,3,Active,4,324
40345,0,1,1,12/20/2015,1,2,In Progress,1,2.24
40346,0,0,1,10/1/2015,1,3,Active,2,8.49
40347,1,1,0,10/7/2015,0,4,-,3,192
40348,1,1,1,10/2/2015,0,3,Active,2,2
40349,1,1,0,10/31/2015,1,1,Not Started,0,0
40350,1,0,1,11/10/2015,1,1,Not Started,1,6
40351,0,1,1,11/24/2015,1,1,Not Started,3,8.65
40352,0,0,1,11/17/2015,1,2,In Progress,4,10.08
40353,1,0,0,12/31/2015,1,2,In Progress,0,0
40354,1,1,0,12/4/2015,1,4,-,4,8
40355,0,1,1,10/3/2015,0,2,In Progress,1,5
40356,1,1,1,11/6/2015,1,4,-,4,10.08
40357,1,1,1,12/24/2015,0,3,Active,0,0
40358,0,1,1,10/31/2015,1,3,Active,3,81
40359,1,0,1,10/29/2015,0,3,Active,1,2.24
40360,1,0,1,11/5/2015,0,2,In Progress,4,6.87
40361,0,1,0,10/29/2015,0,1,Not Started,1,2.45
40362,0,0,0,10/23/2015,0,3,Active,4,21.26
40363,0,1,1,10/24/2015,0,3,Active,4,324
40364,1,1,1,11/27/2015,1,4,-,2,2.83
40365,1,1,1,10/20/2015,0,1,Not Started,2,2
40366,0,0,1,11/18/2015,0,3,Active,1,1.26
40367,1,0,0,11/21/2015,0,2,In Progress,0,0
40368,0,1,1,12/3/2015,1,1,Not Started,3,24
40369,1,0,0,11/8/2015,1,1,Not Started,1,7
40370,1,1,0,11/10/2015,0,1,Not Started,4,8
40371,1,1,1,11/27/2015,1,3,Active,2,3.17
40372,1,1,0,11/25/2015,0,3,Active,0,0
40373,1,1,0,12/12/2015,0,2,In Progress,4,1024
40374,1,0,1,12/6/2015,0,4,-,1,3
40375,1,1,1,12/1/2015,0,4,-,0,0
40376,0,1,1,12/7/2015,0,3,Active,0,0
40377,1,1,1,11/29/2015,1,1,Not Started,1,1.91
40378,0,0,1,10/6/2015,1,2,In Progress,1,2.24
40379,0,0,1,11/9/2015,1,2,In Progress,0,0
40380,0,0,1,11/19/2015,0,2,In Progress,2,9.9
40381,1,1,0,10/27/2015,0,3,Active,2,4.61
40382,1,0,1,10/12/2015,1,2,In Progress,4,324
40383,1,1,1,12/25/2015,0,2,In Progress,1,2
40384,1,0,0,10/30/2015,0,4,-,3,7.21
40385,1,0,1,12/11/2015,1,3,Active,2,8
40386,1,1,0,11/7/2015,0,3,Active,1,1.44
40387,0,1,0,11/11/2015,0,4,-,0,0
40388,1,0,0,10/28/2015,0,3,Active,3,81
40389,0,0,1,11/6/2015,0,4,-,4,10.08
40390,0,1,1,11/22/2015,1,4,-,2,4.24
40391,0,1,1,12/31/2015,0,3,Active,4,5184
40392,0,0,1,11/9/2015,1,1,Not Started,3,192
40393,1,1,1,10/4/2015,0,3,Active,0,0
40394,1,0,0,11/24/2015,0,4,-,0,0
40395,1,1,1,12/3/2015,0,4,-,0,0
40396,0,1,1,11/18/2015,1,1,Not Started,2,32
40397,0,0,1,12/7/2015,0,4,-,1,1.73
40398,1,1,0,11/21/2015,1,3,Active,0,0
40399,1,0,1,11/29/2015,0,3,Active,4,72
40400,0,1,1,11/6/2015,1,4,-,0,0
40401,0,1,1,10/22/2015,0,1,Not Started,0,0
40402,0,1,1,12/28/2015,0,2,In Progress,2,98
40403,1,0,1,12/17/2015,1,3,Active,3,192
40404,0,1,1,11/5/2015,1,2,In Progress,4,13.57
40405,1,1,1,10/30/2015,1,4,-,4,18
40406,0,0,0,11/10/2015,0,4,-,3,192
40407,0,1,1,12/18/2015,1,2,In Progress,3,32.08
40408,1,1,1,12/11/2015,1,3,Active,0,0
40409,1,0,0,10/24/2015,0,4,-,4,8
40410,1,0,1,10/10/2015,1,4,-,4,1024
40411,1,0,1,11/26/2015,0,1,Not Started,2,32
40412,0,0,1,12/29/2015,0,4,-,3,8.65
40413,1,0,1,10/3/2015,0,2,In Progress,2,4.16
40414,1,1,1,12/6/2015,1,2,In Progress,4,324
40415,1,1,1,11/7/2015,1,3,Active,0,0
40416,0,0,0,12/27/2015,0,4,-,3,25.46
40417,0,1,1,12/3/2015,1,3,Active,0,0
40418,1,0,0,10/9/2015,1,3,Active,3,10.1
40419,1,0,1,10/29/2015,1,4,-,3,7.21
40420,1,0,1,10/27/2015,0,3,Active,1,4
40421,0,0,0,12/9/2015,0,1,Not Started,2,9.9
40422,0,0,1,11/25/2015,1,2,In Progress,0,0
40423,1,1,1,10/1/2015,1,4,-,2,5.66
40424,0,1,1,10/26/2015,1,1,Not Started,0,0
40425,0,0,1,12/31/2015,0,3,Active,1,7
40426,1,0,1,11/3/2015,1,3,Active,3,375
40427,0,0,0,12/16/2015,1,4,-,2,2.83
40428,1,0,0,12/20/2015,1,3,Active,2,3.17
40429,1,1,0,12/26/2015,1,3,Active,4,18
40430,1,0,0,10/1/2015,1,1,Not Started,3,2.88
40431,0,0,0,10/2/2015,1,2,In Progress,3,648
40432,0,1,1,10/2/2015,1,4,-,3,81
40433,1,0,1,11/21/2015,1,2,In Progress,0,0
40434,1,1,1,12/13/2015,1,4,-,0,0
40435,1,0,0,10/19/2015,1,3,Active,4,9604
40436,0,0,0,12/30/2015,0,2,In Progress,2,9.9
40437,0,1,0,12/3/2015,0,1,Not Started,4,98
40438,0,1,1,10/26/2015,0,2,In Progress,1,6
40439,1,1,1,12/3/2015,1,1,Not Started,4,1024
40440,0,0,1,10/18/2015,0,3,Active,1,1.82
40441,0,0,1,12/20/2015,1,4,-,4,32
40442,0,0,0,10/23/2015,0,2,In Progress,3,24
40443,0,0,0,11/4/2015,1,2,In Progress,1,1.26
40444,1,1,1,11/24/2015,1,3,Active,3,4.9
40445,0,0,0,11/2/2015,1,4,-,1,2
40446,1,0,0,10/28/2015,1,2,In Progress,0,0
40447,1,1,1,10/6/2015,1,2,In Progress,4,6.87
40448,1,1,0,12/9/2015,0,2,In Progress,0,0
40449,0,1,0,11/22/2015,0,2,In Progress,0,0
40450,0,1,0,10/14/2015,0,4,-,4,6.87
40451,1,0,1,10/19/2015,0,2,In Progress,2,98
40452,0,0,1,11/14/2015,1,1,Not Started,2,4.16
40453,0,0,0,11/16/2015,0,2,In Progress,1,3
40454,0,1,0,12/26/2015,0,1,Not Started,0,0
40455,0,0,0,12/25/2015,0,3,Active,0,0
40456,1,0,0,11/14/2015,0,2,In Progress,1,2
40457,1,0,1,11/5/2015,0,2,In Progress,4,2500
40458,0,1,1,10/5/2015,0,2,In Progress,1,3
40459,0,1,1,11/2/2015,0,3,Active,2,5.66
40460,1,0,1,10/5/2015,1,2,In Progress,3,375
40461,1,0,1,12/30/2015,1,2,In Progress,0,0
40462,1,0,1,12/15/2015,1,4,-,4,8
40463,1,0,0,11/9/2015,0,3,Active,2,4.16
40464,1,1,0,10/11/2015,1,1,Not Started,2,5.66
40465,1,1,0,12/16/2015,1,1,Not Started,0,0
40466,1,1,1,12/14/2015,0,1,Not Started,2,3.17
40467,1,1,0,12/9/2015,0,2,In Progress,3,8.65
40468,0,0,0,12/30/2015,1,4,-,3,8.65
40469,0,0,1,11/28/2015,1,2,In Progress,2,8
40470,0,1,1,12/9/2015,1,3,Active,3,7.21
40471,0,1,1,11/24/2015,0,4,-,4,9604
40472,1,1,1,12/21/2015,0,1,Not Started,4,10.08
40473,0,0,1,11/20/2015,0,2,In Progress,0,0
40474,0,0,0,11/11/2015,0,4,-,1,7
40475,1,0,1,12/20/2015,0,4,-,1,1.71
40476,1,1,0,12/9/2015,0,3,Active,4,4
40477,1,1,0,12/21/2015,0,2,In Progress,0,0
40478,0,0,0,11/14/2015,1,3,Active,2,5.66
40479,0,1,1,10/29/2015,0,4,-,1,6
40480,1,1,1,11/10/2015,1,2,In Progress,0,0
40481,1,1,1,10/30/2015,1,4,-,2,2.83
40482,0,1,1,12/15/2015,0,1,Not Started,4,72
40483,1,0,1,10/17/2015,0,1,Not Started,0,0
40484,1,0,0,10/22/2015,1,4,-,0,0
40485,0,0,0,11/24/2015,0,2,In Progress,1,6
40486,0,0,1,11/25/2015,1,3,Active,2,9.9
